statement_idx,report,page_num,sent_num,statement,confidence,score,split,few_shots_3,prediction,correct
1567,AR6_WGI,1323,10,"Carbon dioxide removal, solar radiation modification, and local ice-shelf engineering may be effective at reducing the yet-to-be- realized sea level commitment, but ineffective at reversing GMSL rise",low,0,test,"[{'input': 'Human activities were very likely the main driver of observed GMSL rise since 1971, and new observational evidence leads to an assessed sea level rise over the period 1901 to 2018 that is consistent with the sum of individual components contributing to sea level rise, including expansion due to ocean warming and melting of glaciers and ice sheets', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'On the basis of modelling studies, paleo constraints, single-ice-sheet studies finding multimillennial nonlinear responses from both the Greenland and Antarctic ice sheets (Sections 9.4.1.4 and 9.4.2.6), and the underlying physics, we conclude that GMSL commitment is nonlinear in peak warming on time scales of both 2,000 and 10,000 years', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Given that GMSL change must be due to some combination of transient land ice growth and changes in terrestrial water storage, additional global mean thermosteric sea-level increase of 7 ± 2 m (Fischer et al., 2018) implies a peak EECO GMSL of 70–76 m', 'label': 'low', 'score': 0, 'report': 'AR6_WGI'}]",low,True
1591,AR6_WGI,1382,27,"Dynamical downscaling using regional climate models adds value in representing many regional weather and climate phenomena, especially over regions of complex orography or with heterogeneous surface characteristics",very high,3,test,"[{'input': 'Four sets of downscaling simulations based on the Eta Regional Climate Model forced by two global climate models (Chou et al., 2014) projected warmer conditions (more than 1°C) for the entire sub-region by 2050 under the RCP4.5 scenario', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'Statistical downscaling methods with carefully chosen predictors and an appropriate model structure for a given application realistically represent many statistical aspects of present-day daily temperature and precipitation', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Using bias adjustment as a method for statistical downscaling, particularly for coarse-resolution global models, may lead to substantial misrepresentations of regional climate and climate change', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",high,False
1630,AR6_WGI,1423,22,Bias adjustment has proven beneficial as an interface between climate model projections and impact modelling in many different contexts,high,2,test,"[{'input': 'Bias adjustment has proven beneficial as an interface between climate model projections and impact modelling in many different contexts', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Using bias adjustment as a method for statistical downscaling, particularly for coarse-resolution global models, may lead to substantial misrepresentations of regional climate and climate change', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'For some regions, such as Europe, changes in exposure are projected to be largely a consequence of climate change, while for others, such as Africa and to a lesser extent Asia, Oceania, North America and South America, the interactive effects of demographic and climate change are projected to be important (Jones et al., 2018; Liu et al., 2017; Russo et al., 2016; Ma and Yuan, 2021)', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}]",medium,False
1664,AR6_WGI,1534,18,"At the global scale, the intensification of heavy precipitation will follow the rate of increase in the maximum amount of moisture that the atmosphere can hold as it warms",high,2,test,"[{'input': 'In climate projections, the emergence of increase in heavy precipitation strongly depends on the scale of aggregation (Kirchmeier-Young et al., 2019), with, in general, no emergence before a 1.5°C or 2°C warming level, and before the middle of the century', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Increases in near-surface atmospheric moisture capacity of about 7% per 1ºC of warming lead to a similar response in the intensification of heavy precipitation from sub-daily up to seasonal time scales, increasing the severity of flood hazards', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Beyond annual or seasonal mean precipitation amounts, an implication of the parallel intensification of the global water cycle and of the increased residence time of atmospheric water vapour (Section 8.2.1) is that the distribution of daily and sub-daily precipitation intensities will experience significant changes (Pendergrass and Hartmann, 2014b; Pendergrass et al., 2015; Bador et al., 2018; Douville and John, 2021), with fewer but potentially stronger events', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",high,True
1666,AR6_WGI,1534,20,"Increases in the intensity of extreme precipitation at regional scales will vary, depending on the amount of regional warming, changes in atmospheric circulation and storm dynamics",high,2,test,"[{'input': 'Increases in the intensity of extreme precipitation events at regional scales will depend on the amount of regional warming as well as changes in atmospheric circulation and storm dynamics leading to regional differences in the rate of heavy precipitation changes', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Some general observed climate trends include higher magnitude and frequency of temperatures including warm extremes (high confidence) (Section 12.4.7.1, Table 11.13 and Atlas.10.2), declines in high-intensity rainfall events (low to medium confidenc e) (Table 11.14), regional sea level rises with strong storm surges and waves resulting in increased coastal flood intensity (high confidence) (Section 12.4.7.4 and Atlas.10.2), and increased intensity and intensification rates of tropical cyclones at global scale', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'At GWL 3°C and GWL 4.4°C, an increased mean annual rainfall of 10–25% is projected by regional climate models (Coppola et al., 2014; Pinto et al., 2015) and the intensity of extreme precipitation will increase', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",medium,False
1760,AR6_WGI,1620,18,Both the ENSO amplitude and the frequency of high-magnitude events since 1950 is higher than over the pre-industrial period,medium,1,test,"[{'input': 'Both the ENSO amplitude and the frequency of high-magnitude events since 1950 is higher than over the pre-industrial period', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'As assessed in Section 2.4.2, ENSO amplitude since 1950 is higher than over the pre-industrial period from 1850 as far back as 1400', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Since the mid 1980’s, there has been an increase in the number and intensification rate of intense TCs (medium confidence), with a significant north-westward shift in tracks and a northward shift in their average latitude, increasing exposure over East China, the Korean Peninsula and the Japanese Archipelago', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",medium,True
1804,AR6_WGI,1810,10,"Extreme precipitation intensity is also increasing in several other regions, such as SAH, NEAF, SEAF, ESAF and MDG",high,2,test,"[{'input': 'Emergent increases in heavy precipitation are found in several regions when aggregated at a regional scale in Northern Europe, Northern Asia and East Asia, at latest by the end of the century in SRES A1B or RCP8.5 scenarios or when considering the decadal variability as a reference', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Mean precipitation is likely to increase in most areas of northern (WSB, ESB, RFE), southern (ECA, TIB, SAS) and East Asia (EAS) in different scenarios', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Regional increases in the frequency and/or intensity of heavy rainfall also observed in most parts of Asia, north-west Australia, northern Europe, South-Eastern South America, and most of the USA (high confidence), and West and Southern Africa, Central Europe, the eastern Mediterranean region, Mexico, and North-Western South America', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",medium,False
1831,AR6_WGI,1816,10,Monsoon floods will be more intense in SAS,medium,1,test,"[{'input': 'In SAS, the numbers of flood events and human fatalities have increased in India during 1978–2006 (Singh and Kumar, 2013), whereas the average country-wide inundation depth has been decreasing during 2002–2010 in Bangladesh, attributed to improved flood management', 'label': 'low', 'score': 0, 'report': 'AR6_WGI'}, {'input': 'Severe damage and disruptions to people and infrastructure from floods are projected to increase in Northwestern South America (NWS), South Asia (SAS), Tibetan Plateau (TIB) and Central Asia (WCA) between 1.5°C and 3°C GWL, mainly driven by river floods and an increase in the number of glacial lakes with high potential for outburst', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'The intensity and frequency of extreme precipitation and pluvial floods is projected to increase over South-Eastern South America, Southern South America, Northern South America, South American Monsoon and North-Eastern South America', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",medium,True
1838,AR6_WGI,1817,6,Higher future temperatures are expected to alter the seasonal profile of hydrologic droughts given reduced summer snowmelt,medium,1,test,"[{'input': 'Many studies focus on precipitation-based drought indices (Carrão et al., 2018), but higher evaporative demands and changes in snow cover are additional drivers of hydrological, agricultural and ecological drought', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'In snow-dominated regions, high temperatures increase the fraction of precipitation falling as rain instead of snow and advance the timing of spring snowmelt', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'In summary, the seasonality of floods has changed in cold regions where snowmelt dominates the flow regime in response to warming', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",high,False
1885,AR6_WGI,1826,9,"In New Zealand, mean wind patterns are projected to become more north-easterly in summer, and westerlies to become more intense in winter",low,0,test,"[{'input': 'Due to the intensification and the shift of the austral storm track by the end of the century (Yin, 2005), increases in extreme wind speed in New Zealand are projected over the South Island and the southern part of the North Island by mid- and end-century for all RCPs', 'label': 'low', 'score': 0, 'report': 'AR6_WGI'}, {'input': 'In New Zealand, more winter and spring rainfall is projected in the west and less in the east and north, with more summer rainfall in the east and less in the west and central North Island', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'While no consistent pattern of contemporary changes in upwelling- favourable winds emerges from observation-based studies, numerical and theoretical work projects that summertime winds near poleward boundaries of upwelling zones will intensify, while winds near equatorward boundaries will weaken', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",medium,False
1906,AR6_WGI,1832,9,"In NWS, a wide range of changes is projected",low,0,test,"[{'input': 'Projected changes in summer are highly uncertain throughout other regions apart from the far northern parts of NEN and NWN which will likely experience increases', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'The broader availability of ensemble model simulations has contributed to better estimations of uncertainty in projections of future change', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Overall, we assess that increases in computing power and the broader availability of larger and more varied ensembles of model simulations have contributed to better estimations of uncertainty in projections of future change', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",low,True
1928,AR6_WGI,1839,27,Fire weather conditions have been increasing since about 1980 over a few regions in Europe including Mediterranean areas,low,0,test,"[{'input': 'With increased drying and heat combined, in Mediterranean areas, an increase in fire weather indices is projected under RCP4.5 and RCP8.5, or SRES A1B, as early as by mid-century', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'An increase in fire weather is projected for most of Europe, especially western, eastern and central regions, by 2080 (current 100-year events will occur every 5–50 years), with a progressive increase in confidence and model agreement along the 21st century', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'For processes such as wildfire, the Fire Weather index (Section 13.3.1.3) suggests increasing risk of fires in Europe, but robust projections on incidents and magnitudes of wildfire and their impacts on ecosystems and other sectors is currently limited, particularly for NEU, EEU and WCE', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",medium,False
1935,AR6_WGI,1840,13,"Wind stagnation events may become more frequent in future climate scenarios in some areas of Europe in the second half of the 21st century (Horton et al., 2014; Vautard et al., 2018), with potential consequences on air quality",low,0,test,"[{'input': 'Strong winds and extratropical storms are projected to have a slightly increasing frequency and amplitude in the future in northern, western and Central Europe (Outten and Esau, 2013; Feser et al., 2015; Forzieri et al., 2016; Mölter et al., 2016; Ruosteenoja et al., 2019a; Vautard et al., 2019) under RCP8.5 and SRES A1B by the end of the century', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Due to changes in mean surface wind speed patterns (C. Li et al., 2018) and the poleward shift of the North Atlantic jet stream exit, mean surface wind speeds are projected to decrease in the Mediterranean areas under RCP4.5 and RCP8.5 by the middle of the century and beyond, or for GWLs of 2°C and higher (high confidence), with a subsequent decrease in wind power potential', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'The frequency of Mediterranean wind storms reaching North Africa, including Medicanes, is projected to decrease, but their intensities are projected to increase, by the mid-century and beyond under SRES A1B, SRES A2 and RCP8.5', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",medium,False
1956,AR6_WGI,1848,11,"Climate change drives future increases in North American fire weather, particularly in the south-west",high,2,test,"[{'input': 'Climate change is projected to increase fire activity in many places in North America during the coming decades (see also AR6, WGI, Chapter 12, Ranasinghe et al., 2021) (Boulanger et al., 2014; Williams et al., 2016; Halofsky et al., 2020), via longer fire seasons (Wotton and Flannigan, 1993; USGCRP , 2017), long-term warming (Villarreal et al., 2019; Wahl et al., 2019) and increased lightning frequency in some areas of the USA and Canada', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'In summary, field evidence shows that anthropogenic climate change has increased the area burned by wildfire above natural levels across western North America in the period 1984–2017, at GMST increases of 0.6°C–0.9°C, increasing burned area up to 11 times in one extreme year and doubling it (over natural levels) in a 32-year period', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Nevertheless, the evidence from the forests of western North America shows that human-caused climate change has, at least on one continent, clearly driven increases in wildfire.Box FAQ 2.3 (continued) In summary, anthropogenic climate change caused drought-induced tree mortality of up to 20% in the period 1945–2007 in western North America, the African Sahel and North Africa, via global temperature increases of 0.3°C–0.9°C above the pre-industrial period and increases in aridity, and it contributed to over 100 other cases of drought-induced tree mortality in Africa, Asia, Australia, Europe and North and South America', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",high,True
1957,AR6_WGI,1848,19,The mean wind speeds decline in North America – as in other Northern Hemisphere areas – over the past four decades has reversed in the last decade,low,0,test,"[{'input': 'Mean wind speeds are expected to decline over much of North America (Figure 12.4m–o), but the only broad signal of consistent change across model types is a reduction in wind speed in Western North America', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Mean winds are projected to slightly decrease by 2050 over much of Europe, Asia and Western North America, and increase in many parts of South America except Patagonia, West and South Africa and the eastern Mediterranean', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Due to changes in mean surface wind speed patterns (C. Li et al., 2018) and the poleward shift of the North Atlantic jet stream exit, mean surface wind speeds are projected to decrease in the Mediterranean areas under RCP4.5 and RCP8.5 by the middle of the century and beyond, or for GWLs of 2°C and higher (high confidence), with a subsequent decrease in wind power potential', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",medium,False
2001,AR6_WGI,1861,10,"In the Arctic, mid-winter snowpack increases in some of the coldest and high- elevation locations given higher precipitation totals",medium,1,test,"[{'input': 'As temperatures rise, snow extent, duration of snow cover and accumulated snowpack are virtually certain to decline in subarctic regions of North America (Gutierrez et al., 2021a; McCrary and Mearns, 2019; Mudryk et al., 2021), with corresponding effects on snow- related hydrological changes', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Observations and projections agree that snow and ice CIDs over North America are characterized by reduction in glaciers and the seasonality of snow and ice formation, loss of shallow permafrost, and shifts in the rain/snow transition line that alters the seasonal and geographic range of snow and ice conditions in the coming decades', 'label': 'very high', 'score': 3, 'report': 'AR6_WGI'}, {'input': 'Rainfall frequency is estimated to have increased over the Arctic by 2.7–5.4% over 2000–2016 (Boisvert et al., 2018) with more frequent rainfall events reported for NEU and ARO (Svalbard; Maturilli et al., 2015; AMAP , 2019), and winter rain totals and frequency have increased in Svalbard since 2000', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",medium,True
2016,AR6_WGI,1864,23,"Climate change-related variations in oceanic drivers (e.g., relative sea level, storm surge, ocean waves), combined with tropical cyclones, extreme precipitation and river flooding, are expected to lead to more frequent and more intense coastal flooding and erosion",very high,3,test,"[{'input': 'Some general observed climate trends include higher magnitude and frequency of temperatures including warm extremes (high confidence) (Section 12.4.7.1, Table 11.13 and Atlas.10.2), declines in high-intensity rainfall events (low to medium confidenc e) (Table 11.14), regional sea level rises with strong storm surges and waves resulting in increased coastal flood intensity (high confidence) (Section 12.4.7.4 and Atlas.10.2), and increased intensity and intensification rates of tropical cyclones at global scale', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'The ocean and climate impact drivers influencing these risks are assessed in WGI (Ranasinghe et al., 2021), which include extreme heat, pluvial floods from increasing rainfall intensity, coastal erosion and coastal flood driven by increasing SLR, and tropical cyclone storm surges', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Sea level increase and increases in tropical cyclone storm surge and rainfall intensity will increase the probability of coastal city flooding, with more than a billion people located in low-lying cities and settlements expected to be at risk from coastal-specific climate hazards by 2050', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",high,False
2046,AR6_WGI,1870,16,"The emergence of increasing precipitation before the middle of the 21st century is found across scenarios in Siberian regions, Russian Far East, Northern Europe, Arctic regions and the northernmost parts of North America",high,2,test,"[{'input': 'The emergence of increasing precipitation before the middle of the century is also projected in Siberian regions, Russian Far East, Northern Europe and the northernmost parts of North America and Arctic regions across scenarios with the various methods and emergence definitions used', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Agreement in projected changes by different models is low in regions of complex topography such as Hindu-Kush Himalayas (Roy et al., 2019), but CMIP5, CMIP6 and CORDEX-CORE simulations consistently project an increase in heavy precipitation in higher latitude areas, such as West and East Siberia, and Russian Far East', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Over North Asia annual precipitation increases with estimated trends of 5–15 mm per decade in the 1976–2014 period have been recorded with an exception over the Kamchatka and the Chukchi peninsulas, where decreases of up to –20 mm per decade in the same period have been found', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",high,True
2089,AR6_WGI,1876,8,The Arctic Ocean will likely become sea ice-free in September before 2050 in all considered SSP scenarios; such disappearance including several months in most years at 3°C–5°C,high,2,test,"[{'input': 'The Arctic Ocean is characterised by the highest rates of acidification and warming, strong nutrient depletion, and it will likely become practically sea ice free in the September mean for the first time before the year 2050 in all SSP scenarios', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Quantitatively, existing studies (Screen and Williamson, 2017; Jahn, 2018; Ridley and Blockley, 2018; Sigmond et al., 2018; Notz and SIMIP Community, 2020) also show that, for a warming between 1.5 and 2°C, the Arctic will only be practically sea ice free in September in some years, while at 3°C warming, the Arctic is practically sea ice free in September in most years, with longer practically sea ice-free periods at higher warming levels', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'The coastal region at severe risk from tropical storms is projected to expand northward within US- NE (medium confidence) (Kossin et al., 2017).Additional reduction in polar sea ice is virtually certain (Ranasinghe et al., 2021; Mudryk et al., 2021), with the North American Arctic projected to be seasonally ice free at least once per decade under 2°C of global warming', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",high,True
2095,AR6_WGI,1876,18,Spring Snow Cover has seen substantial reductions in spring snow cover extent in the Northern Hemisphere since 1978,very high,3,test,"[{'input': 'Reductions in spring snow cover extent have occurred across the Northern Hemisphere since at least 1978', 'label': 'very high', 'score': 3, 'report': 'AR6_WGI'}, {'input': 'In summary, consistent projections from all generations of global climate models, elementary process understanding and strong covariance between snow cover and temperature on several time scales make it virtually certain that future Northern Hemisphere snow cover extent and duration will continue to decrease as global climate continues to warm, and process understanding strongly suggests that this also applies to Southern Hemisphere seasonal snow cover', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'In summary, substantial reductions in spring snow cover extent have occurred in the NH since 1978', 'label': 'very high', 'score': 3, 'report': 'AR6_WGI'}]",high,False
2115,AR6_WGI,1947,16,"Across each of the continents, higher warming is likely to occur in northern Africa, the central interior of southern and Western Africa; in North Asia; in Central Australia; in Amazonia; in Northern Europe and northern North America",high,2,test,"[{'input': 'Phenomenon and Direction of TrendProjected Changes at +1.5ºC Global WarmingProjected Changes at +2°C Global WarmingProjected Changes at +4°C Global Warming Warmer and/or more frequent hot days and nights over most land areas Warmer and/or fewer cold days and nights over most land areas Warm spells/heatwaves; increases in frequency or intensity over most land areas Cold spells/cold waves: decreases in frequency or intensity over most land areasVirtually certain on global scale Extremely likely on all continents Highest increase of temperature of hottest days is projected in some mid-latitude and semi-arid regions, and the South American Monsoon region, at about 1.5 times to twice the rate of global warming (high confidence) {11.3, Figure 11.3} Highest increase of temperature of coldest days is projected in Arctic regions, at about three times the rate of global warming (high confidence) {11.3} Continental-scale projections: Extremely likely : Africa, Asia, Australasia, Central and South America, Europe, North America {11.3, 11.9}Virtually certain on global scale Virtually certain on all continents Highest increase of temperature of hottest days is projected in some mid-latitude and semi-arid regions, and the South American Monsoon region, at about 1.5 times to twice the rate of global warming (high confidence) {11.3, Figure 11.3} Highest increase of temperature of coldest days is projected in Arctic regions, at about three times the rate of global warming (high confidence) {11.3} Continental-scale projections: Virtually certain: Africa, Asia, Australasia, Central and South America, Europe, North America {11.3, 11.9}Virtually certain on global scale Virtually certain on all continents Highest increase of temperature of hottest days is projected in some mid-latitude and semi-arid regions, and the South American Monsoon region, at about 1.5 times to twice the rate of global warming (high confidence) {11.3, Figure 11.3} Highest increase of temperature of coldest days is projected in Arctic regions, at about three times the rate of global warming (high confidence) {11.3} Continental-scale projections: Virtually certain: Africa, Asia, Australasia, Central and South America, Europe, North America {11.3, 11.9} Heavy precipitation events: increase in the frequency, intensity, and/or amount of heavy precipitation High confidence that increases take place in most land regions {11.4} Very likely: Asia, North America Likely: Africa, Europe High confidence: Central and South America Medium confidence: Australasia {11.4, 11.9}Likely that increases take place in most land regions {11.4} Extremely likely: Asia, North America Very likely: Africa, Europe Likely: Australasia, Central and South America {11.4, 11.9}Very likely that increases take place in most land regions {11.4} Virtually certain: Africa, Asia, North America Extremely likely: Central and South America, Europe Very likely Australasia {11.4, 11.9} Agricultural and ecological droughts: increases in intensity and/or duration of drought events More regions affected by increases in agricultural and ecological droughts compared to observed changes', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'In the Southern Hemisphere relatively high rates of warming in subtropical continental areas of South America, Southern Africa and Australia', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Whether adaptation is considered or not, the consensus is Central and South America, southern Europe, southern and Southeast Asia and Africa will be the most affected by climate change in terms of heat-related mortality', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}]",high,True
2132,AR6_WGI,1987,14,The rate of surface temperature increase has generally been more rapid in Africa than the global average and by at least 0.1°C–0.2°C during 1961–2015,high,2,test,"[{'input': 'Atlas.4.1.2 Findings From Previous IPCC Assessments The most recent IPCC reports, AR5 and SR1.5 (Christensen et al., 2013; Hoegh-Guldberg et al., 2018), state that over most parts of Africa, minimum temperatures have warmed more rapidly than maximum temperatures during the last 50 to 100 years', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Since 1970, mean temperature over East Africa has shown an increasing trend but showed a decreasing trend in the previous 40 years (medium confidence).The Horn of Africa has experienced significantly decreased rainfall during the long rains season from March to May (high confidence) and drying trends in this and other parts of Africa are attributable to oceanic influences', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'The consequence of increased temperature and evapotranspiration, and decreased precipitation amount, in interaction with climate variability and human activities, have contributed to desertification in dryland areas in sub-Saharan Africa (medium confidence) as reported in SRCCL (Mirzabaev et al., 2019).Atlas.4.2 Assessment and Synthesis of Observations, Trends and Attribution Figure Atlas.11 shows observed trends in annual mean surface temperature and indicates it has been rising rapidly over Africa from 1961 to 2015 and with significant increases in all regions of 0.1°C–0.2°C per decade and higher over some northern, eastern and south-western regions', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",high,True
2191,AR6_WGI,2003,4,"The assessment found that the volume of ice in New Zealand has declined by 36–61% from the mid- to late 1800s to the late 1900s, while late-season significant snow depth has also declined in three out of four Snowy Mountain sites in Australia between 1957 and 2002",high,2,test,"[{'input': 'Snowfall is expected to decrease throughout the region at high altitudes in both Australia (high confidence) and New Zealand (medium confidence), with glaciers receding in New Zealand', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'On the other hand, the volume of winter snow and the number of days with low-elevation snow cover in New Zealand are projected to decrease in the future (very high confidence), while both snow depth and area are projected to decline in Australia', 'label': 'very high', 'score': 3, 'report': 'AR6_WGI'}, {'input': 'In summary, snowfall is expected to decrease throughout the region at high altitudes in both Australia (high confidence) and New Zealand', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",medium,False
2196,AR6_WGI,2007,20,"According to AR5 (Christensen et al., 2013), significant positive trends of temperature have been observed in Central America",high,2,test,"[{'input': 'Atlas.7.1.5 Summary Significant warming trends between 0.2°C and 0.3°C per decade have been observed in the three reference regions of Central America in the last 30 years, with the largest increases in the North American Monsoon region', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Atlas.7.2.2 Assessment and Synthesis of Observations, Trends and Attribution Studies on climatic trends in South America indicate that mean temperature and extremely warm maximum and minimum temperatures have shown an increasing trend', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'Atlas.7.2.1.2 Findings From Previous IPCC Assessments According to AR5 WGII Chapter 27 (Magrin et al., 2014), during the last decades of the 20th century, observational studies identified significant trends in precipitation and temperature in South America', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",medium,False
2208,AR6_WGI,2010,20,Under moderate future emissions overall negative but non-significant precipitation trends are projected for the 21st century,low,0,test,"[{'input': 'Water scarcity risks are projected to affect a growing number of people in the near and mid-term future in view of growing water demand in most regions (medium confidence: medium evidence, high agreement) (Veldkamp et al., 2017; Schoolmeester et al., 2018; Viviroli et al., 2020), expected precipitation reductions in western and northern SAM and SWS (medium confidence: medium evidence, medium agreement) (Neukom et al., 2015; Schoolmeester et al., 2018), substantial vanishing of glacier extent in NWS, SAM and SWS (Table SM12.6; Rabatel et al., 2018; Vuille et al., 2018; Cuesta et al., 2019; Drenkhan et al., 2019) and increasing evaporation rates in CA', 'label': 'medium', 'score': 1, 'report': 'AR6_WGII'}, {'input': 'At GWL 3°C and GWL 4.4°C, an increased mean annual rainfall of 10–25% is projected by regional climate models (Coppola et al., 2014; Pinto et al., 2015) and the intensity of extreme precipitation will increase', 'label': 'high', 'score': 2, 'report': 'AR6_WGII'}, {'input': 'Future climate change is expected to have mixed effects, positive or negative, with an overall low effect, on global surface PM and more generally on the aerosol global burden (medium confidence), but stronger effects are not excluded in regions prone to specific meteorological conditions', 'label': 'low', 'score': 0, 'report': 'AR6_WGI'}]",medium,False
2235,AR6_WGI,2013,15,"Under high RCPs, the CMIP5 ensemble projects that all Brazilian regions will experience more rainfall variability in the future, so drier dry periods and wetter wet periods on daily, weekly, monthly and seasonal time scales, despite the future changes in mean rainfall being currently uncertain",medium,1,test,"[{'input': 'The biases in seasonal precipitation, annual precipitation and climate extremes over several regions of South America were reduced, including the Amazon, central South America, Bolivia, eastern Argentina and Uruguay, in the CMIP5 models when compared to those of CMIP3', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'With continued global warming and anticipated reductions in anthropogenic aerosol emissions in the future, CMIP5 models project an increase in the mean and variability of summer monsoon precipitation over India by the end of the 21st century, together with substantial increases in daily precipitation extremes', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'Projected changes in rainfall over South East Asia vary, depending on model, sub-region and season (high confidence), with consistent projections of increases in annual mean rainfall from CMIP5 and CMIP6 over most land areas (medium confidence) and decreases in summer rainfall from CORDEX projections over much of Indonesia', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}]",medium,True
2293,AR6_WGI,2040,34,"In the south-west, north-east and north-west, SMB turns negative or close to zero after 2000 and remains above zero in other regions",medium,1,test,"[{'input': 'More evidence has emerged showing the importance of the Pacific–South American pattern, ENSO and Pacific Ocean convection, and large-scale blocking causing warm-air intrusions and both extreme precipitation and melt events, responsible for large interannual SMB variability', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}, {'input': 'SMB models have improved due to increased availability and quality of remotely sensed and in situ observations, and an ensemble mean of SMB model simulations provides the best estimate of the present- day SMB', 'label': 'medium', 'score': 1, 'report': 'AR6_WGI'}, {'input': 'An exception is the Southern Annular Mode (SAM), which has become systematically more positive (high confidence) and is projected to be more positive in all seasons, except for December–January–February (DJF), in high CO 2 emissions scenarios', 'label': 'high', 'score': 2, 'report': 'AR6_WGI'}]",idk,False
